codigo,nome,fechamento,valor,mensal,anual,tipo,periodo,dataBase,dataPagamento
SPVJ11,FII S VAREJO,0,"0,68",0,0,Rendimento,jul./22,29/07/2022,12/08/2022
BPFF11,FII ABSOLUTO,"65,85","0,75","1,14","0,96",Rendimento,jul./22,29/07/2022,05/08/2022
HGIC11,FII HGI CRI,"106,22","1,01","0,95","0,95",Rendimento,jul./22,29/07/2022,16/08/2022
RBRS11,FII RIOB RR,"56,98","0,41","0,72","0,69",Rendimento,jul./22,29/07/2022,15/08/2022
QAMI11,FII QUASAR C,"87,9",1,"1,14","1,36",Rendimento,jul./22,29/07/2022,12/08/2022
STRX11,FII STARX,0,"0,75",0,0,Rendimento,jul./22,29/07/2022,05/08/2022
RMAI11,FII REAGMULT,"35,5","0,26","0,73","0,46",Rendimento,jul./22,29/07/2022,09/08/2022
PQDP11,FII D PEDRO,"1978,51","14,24","0,72","0,7",Rendimento,jun./22,29/07/2022,19/08/2022
XPHT11,FII XP HOT,110,"0,54","0,49","0,38",Rendimento,jul./22,29/07/2022,12/08/2022
PVBI11,FII VBI PRI,"91,42","0,56","0,61","0,62",Rendimento,jun./22,29/07/2022,05/08/2022
RBHG11,FII RBCRI IV,"86,86","1,3","1,5","1,31",Rendimento,jul./22,29/07/2022,12/08/2022
BBRC11,FII BB CORP,98,"0,99","1,01","0,92",Rendimento,jul./22,29/07/2022,12/08/2022
MFAI11,FII MERITOFA,"61,28","0,51","0,83","0,98",Rendimento,jul./22,29/07/2022,12/08/2022
ERCR11,FII ESTOQ RJ,N/A,"581,81",N/A,N/A,Amortização,jul./22,18/07/2022,25/07/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,jun./22,13/07/2022,20/07/2022
IDFI11,FII UNIDADES,N/A,"3,58",N/A,N/A,Amortização,jun./22,30/06/2022,07/07/2022
KINP11,FII EV KINEA,N/A,"0,37",N/A,N/A,Amortização,jun./22,30/06/2022,14/07/2022
KEVE11,FII EVEN II,N/A,"12,93",N/A,N/A,Amortização,jun./22,30/06/2022,14/07/2022
RDPD11,FII BB PAPII,N/A,"0,69",N/A,N/A,Amortização,jun./22,30/06/2022,15/07/2022
PLRI11,FII POLO I,N/A,"0,24",N/A,N/A,Amortização,jun./22,30/06/2022,07/07/2022
KNRE11,FII KII REAL,N/A,"0,05",N/A,N/A,Amortização,jun./22,30/06/2022,14/07/2022
ERCR11,FII ESTOQ RJ,N/A,"303,5",N/A,N/A,Amortização,jun./22,17/06/2022,24/06/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,mai./22,13/06/2022,21/06/2022
RDPD11,FII BB PAPII,N/A,"0,61",N/A,N/A,Amortização,mai./22,09/06/2022,17/06/2022
RNDP11,FII BB R PAP,N/A,"81,54",N/A,N/A,Amortização,mai./22,09/06/2022,17/06/2022
LFTT11,FII LOFT II,N/A,"19,55",N/A,N/A,Amortização,jun./22,08/06/2022,22/06/2022
PLRI11,FII POLO I,N/A,"0,25",N/A,N/A,Amortização,mai./22,31/05/2022,07/06/2022
IDFI11,FII UNIDADES,N/A,"3,26",N/A,N/A,Amortização,mai./22,31/05/2022,07/06/2022
ERCR11,FII ESTOQ RJ,N/A,"314,22",N/A,N/A,Amortização,mai./22,17/05/2022,24/05/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,abr./22,12/05/2022,19/05/2022
PRTS11,FII MULTPROP,N/A,"0,05",N/A,N/A,Amortização,mai./22,11/05/2022,18/05/2022
KINP11,FII EV KINEA,N/A,"0,13",N/A,N/A,Amortização,abr./22,29/04/2022,13/05/2022
PLRI11,FII POLO I,N/A,"0,72",N/A,N/A,Amortização,abr./22,29/04/2022,06/05/2022
KEVE11,FII EVEN II,N/A,"16,86",N/A,N/A,Amortização,abr./22,29/04/2022,13/05/2022
IDFI11,FII UNIDADES,N/A,"6,14",N/A,N/A,Amortização,abr./22,29/04/2022,06/05/2022
ERCR11,FII ESTOQ RJ,N/A,"8,04",N/A,N/A,Amortização,abr./22,18/04/2022,26/04/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,mar./22,13/04/2022,22/04/2022
IDFI11,FII UNIDADES,N/A,"4,39",N/A,N/A,Amortização,mar./22,31/03/2022,07/04/2022
KINP11,FII EV KINEA,N/A,"0,03",N/A,N/A,Amortização,mar./22,31/03/2022,14/04/2022
PLRI11,FII POLO I,N/A,"0,64",N/A,N/A,Amortização,mar./22,31/03/2022,07/04/2022
RNDP11,FII BB R PAP,N/A,200,N/A,N/A,Amortização,mar./22,23/03/2022,07/04/2022
SHOP11,FII MULTSHOP,N/A,"6,75",N/A,N/A,Amortização,fev./22,23/03/2022,30/03/2022
ERCR11,FII ESTOQ RJ,N/A,"1,64",N/A,N/A,Amortização,mar./22,17/03/2022,24/03/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,fev./22,14/03/2022,21/03/2022
KINP11,FII EV KINEA,N/A,"0,14",N/A,N/A,Amortização,fev./22,25/02/2022,15/03/2022
PLRI11,FII POLO I,N/A,"0,82",N/A,N/A,Amortização,fev./22,25/02/2022,08/03/2022
IDFI11,FII UNIDADES,N/A,"2,9",N/A,N/A,Amortização,fev./22,25/02/2022,08/03/2022
KEVE11,FII EVEN II,N/A,"18,28",N/A,N/A,Amortização,fev./22,25/02/2022,15/03/2022
RBRI11,FII RBR III,N/A,"17,86",N/A,N/A,Amortização,jan./22,18/02/2022,25/02/2022
ERCR11,FII ESTOQ RJ,N/A,"360,9",N/A,N/A,Amortização,fev./22,17/02/2022,24/02/2022
GCFF11,FII GALAPAGO,N/A,1,N/A,N/A,Amortização,jan./22,11/02/2022,18/02/2022
KINP11,FII EV KINEA,N/A,"0,21",N/A,N/A,Amortização,jan./22,31/01/2022,14/02/2022
KNRE11,FII KII REAL,N/A,"0,75",N/A,N/A,Amortização,jan./22,31/01/2022,14/02/2022
IDFI11,FII UNIDADES,N/A,"1,67",N/A,N/A,Amortização,jan./22,31/01/2022,07/02/2022
PLRI11,FII POLO I,N/A,"0,42",N/A,N/A,Amortização,jan./22,31/01/2022,07/02/2022
RBRI11,FII RBR III,N/A,"17,86",N/A,N/A,Amortização,dez./21,18/01/2022,25/01/2022
ERCR11,FII ESTOQ RJ,N/A,"2,1",N/A,N/A,Amortização,jan./22,17/01/2022,24/01/2022
PLRI11,FII POLO I,N/A,"1,24",N/A,N/A,Amortização,dez./21,30/12/2021,07/01/2022
KINP11,FII EV KINEA,N/A,"0,26",N/A,N/A,Amortização,dez./21,30/12/2021,14/01/2022
IDFI11,FII UNIDADES,N/A,"0,51",N/A,N/A,Amortização,dez./21,30/12/2021,07/01/2022
KEVE11,FII EVEN II,N/A,"16,59",N/A,N/A,Amortização,dez./21,30/12/2021,14/01/2022
ERCR11,FII ESTOQ RJ,N/A,"1,7",N/A,N/A,Amortização,dez./21,17/12/2021,27/12/2021
MGLG11,FII MOGNO LG,N/A,"0,63",N/A,N/A,Amortização,nov./21,07/12/2021,28/12/2021
KINP11,FII EV KINEA,N/A,"0,19",N/A,N/A,Amortização,nov./21,30/11/2021,14/12/2021
STRX11,FII STARX,N/A,"0,34",N/A,N/A,Amortização,nov./21,30/11/2021,07/12/2021
PLRI11,FII POLO I,N/A,"0,71",N/A,N/A,Amortização,nov./21,30/11/2021,07/12/2021
ERCR11,FII ESTOQ RJ,N/A,"1,17",N/A,N/A,Amortização,nov./21,17/11/2021,24/11/2021
RDPD11,FII BB PAPII,N/A,"10,2",N/A,N/A,Amortização,nov./21,05/11/2021,24/11/2021
SPTW11,FII SP DOWNT,N/A,"1,56",N/A,N/A,Amortização,out./21,29/10/2021,08/11/2021
PLRI11,FII POLO I,N/A,"4,15",N/A,N/A,Amortização,out./21,29/10/2021,08/11/2021
ERCR11,FII ESTOQ RJ,N/A,"671,5",N/A,N/A,Amortização,out./21,18/10/2021,25/10/2021
RNDP11,FII BB R PAP,N/A,"65,13",N/A,N/A,Amortização,out./21,14/10/2021,21/10/2021
PLRI11,FII POLO I,N/A,"0,72",N/A,N/A,Amortização,set./21,30/09/2021,07/10/2021
KINP11,FII EV KINEA,N/A,"0,53",N/A,N/A,Amortização,set./21,30/09/2021,15/10/2021
GCRA11,FIAGRO GLPG,N/A,1,N/A,N/A,Amortização,mar./21,30/09/2021,15/10/2021
BLCA11,FII BLUE AAA,N/A,14,N/A,N/A,Amortização,set./21,28/09/2021,05/10/2021
ERCR11,FII ESTOQ RJ,N/A,"2,35",N/A,N/A,Amortização,set./21,17/09/2021,24/09/2021
BBIM11,FII BB RECIM,N/A,"12,21",N/A,N/A,Amortização,set./21,31/08/2021,27/09/2021
PLRI11,FII POLO I,N/A,"1,05",N/A,N/A,Amortização,ago./21,31/08/2021,08/09/2021
ERCR11,FII ESTOQ RJ,N/A,"3,61",N/A,N/A,Amortização,ago./21,17/08/2021,24/08/2021
THRA11,FII BM THERA,N/A,"9,38",N/A,N/A,Amortização,ago./21,09/08/2021,13/08/2021
PLRI11,FII POLO I,N/A,"1,46",N/A,N/A,Amortização,jul./21,30/07/2021,06/08/2021
ERCR11,FII ESTOQ RJ,N/A,"2,04",N/A,N/A,Amortização,jul./21,19/07/2021,26/07/2021
NAVT11,FII NAVI TOT,N/A,"0,25",N/A,N/A,Amortização,jun./21,14/07/2021,21/07/2021
THRA11,FII BM THERA,N/A,"84,5",N/A,N/A,Amortização,jul./21,08/07/2021,16/07/2021
PLRI11,FII POLO I,N/A,"1,64",N/A,N/A,Amortização,jun./21,30/06/2021,07/07/2021
KINP11,FII EV KINEA,N/A,"0,27",N/A,N/A,Amortização,jun./21,30/06/2021,14/07/2021
KNRE11,FII KII REAL,N/A,"0,35",N/A,N/A,Amortização,jun./21,30/06/2021,14/07/2021
RBBV11,FII JHSF FBV,N/A,100,N/A,N/A,Amortização,jun./21,29/06/2021,22/07/2021
RBBV11,FII JHSF FBV,N/A,100,N/A,N/A,Amortização,jul./21,29/06/2021,22/07/2021
ERCR11,FII ESTOQ RJ,N/A,"5,68",N/A,N/A,Amortização,jun./21,17/06/2021,24/06/2021
RDPD11,FII BB PAPII,N/A,28,N/A,N/A,Amortização,jun./21,08/06/2021,16/06/2021
PLRI11,FII POLO I,N/A,"0,7",N/A,N/A,Amortização,mai./21,31/05/2021,08/06/2021
ERCR11,FII ESTOQ RJ,N/A,"1,69",N/A,N/A,Amortização,mai./21,17/05/2021,24/05/2021
PLRI11,FII POLO I,N/A,"1,29",N/A,N/A,Amortização,abr./21,30/04/2021,07/05/2021
ERCR11,FII ESTOQ RJ,N/A,"2,5",N/A,N/A,Amortização,abr./21,19/04/2021,27/04/2021
RNDP11,FII BB R PAP,N/A,175,N/A,N/A,Amortização,abr./21,19/04/2021,05/05/2021
DMAC11,FII MAC,N/A,"33,74",N/A,N/A,Amortização,abr./21,06/04/2021,15/04/2021
KINP11,FII EV KINEA,N/A,"0,42",N/A,N/A,Amortização,mar./21,31/03/2021,15/04/2021
CXTL11,FII CX TRX,N/A,"94,83",N/A,N/A,Amortização,mar./21,31/03/2021,15/04/2021
KNRE11,FII KII REAL,N/A,"0,54",N/A,N/A,Amortização,mar./21,31/03/2021,15/04/2021
PLRI11,FII POLO I,N/A,"0,5",N/A,N/A,Amortização,mar./21,31/03/2021,08/04/2021
SPTW11,FII SP DOWNT,N/A,"10,7",N/A,N/A,Amortização,mar./21,31/03/2021,08/04/2021
HMOC11,FII HEDMOCA,N/A,"13,73",N/A,N/A,Amortização,mar./21,30/03/2021,06/04/2021
HMOC11,FII HEDMOCA,N/A,"13,95",N/A,N/A,Amortização,mar./21,22/03/2021,29/03/2021
PATC11,FII PATRIA,N/A,"14,35",N/A,N/A,Amortização,mar./21,18/03/2021,26/03/2021
ERCR11,FII ESTOQ RJ,N/A,"2,05",N/A,N/A,Amortização,mar./21,17/03/2021,24/03/2021
HMOC11,FII HEDMOCA,N/A,"13,95",N/A,N/A,Amortização,mar./21,15/03/2021,22/03/2021
HMOC11,FII HEDMOCA,N/A,"13,95",N/A,N/A,Amortização,mar./21,08/03/2021,15/03/2021
DMAC11,FII MAC,N/A,"30,79",N/A,N/A,Amortização,mar./21,05/03/2021,15/03/2021
HMOC11,FII HEDMOCA,N/A,"31,4",N/A,N/A,Amortização,mar./21,01/03/2021,08/03/2021
PLRI11,FII POLO I,N/A,"1,02",N/A,N/A,Amortização,fev./21,26/02/2021,05/03/2021
SPTW11,FII SP DOWNT,N/A,"0,55",N/A,N/A,Amortização,fev./21,26/02/2021,08/03/2021
ERCR11,FII ESTOQ RJ,N/A,"2,32",N/A,N/A,Amortização,fev./21,17/02/2021,24/02/2021
QAGR11,FII QUASAR A,N/A,38,N/A,N/A,Amortização,fev./21,10/02/2021,19/02/2021
EVBI11,FII VBI CON,N/A,"0,64",N/A,N/A,Amortização,dez./20,29/01/2021,05/02/2021
SPTW11,FII SP DOWNT,N/A,"0,55",N/A,N/A,Amortização,jan./21,29/01/2021,08/02/2021
PLRI11,FII POLO I,N/A,"1,05",N/A,N/A,Amortização,jan./21,29/01/2021,05/02/2021
ERCR11,FII ESTOQ RJ,N/A,"6,21",N/A,N/A,Amortização,jan./21,21/01/2021,29/01/2021
DMAC11,FII MAC,N/A,"49,5",N/A,N/A,Amortização,jan./21,06/01/2021,15/01/2021
KNRE11,FII KII REAL,N/A,"0,24",N/A,N/A,Amortização,dez./20,30/12/2020,15/01/2021
SPTW11,FII SP DOWNT,N/A,"0,39",N/A,N/A,Amortização,dez./20,30/12/2020,08/01/2021
PLRI11,FII POLO I,N/A,"1,27",N/A,N/A,Amortização,dez./20,30/12/2020,08/01/2021
KINP11,FII EV KINEA,N/A,"0,47",N/A,N/A,Amortização,dez./20,30/12/2020,15/01/2021
GRLV11,FII LOUVEIRA,N/A,"4,97",N/A,N/A,Amortização,dez./20,22/12/2020,28/12/2020
DMAC11,FII MAC,N/A,"23,77",N/A,N/A,Amortização,dez./20,04/12/2020,15/12/2020
SPTW11,FII SP DOWNT,N/A,"0,54",N/A,N/A,Amortização,nov./20,30/11/2020,08/12/2020
PLRI11,FII POLO I,N/A,"0,89",N/A,N/A,Amortização,nov./20,30/11/2020,07/12/2020
EVBI11,FII VBI CON,N/A,"0,53",N/A,N/A,Amortização,nov./20,30/11/2020,07/12/2020
EVBI11,FII VBI CON,N/A,"0,53",N/A,N/A,Amortização,out./20,30/11/2020,07/12/2020
GRLV11,FII LOUVEIRA,N/A,90,N/A,N/A,Amortização,nov./20,30/11/2020,07/12/2020
DMAC11,FII MAC,N/A,"40,12",N/A,N/A,Amortização,nov./20,06/11/2020,16/11/2020
SPTW11,FII SP DOWNT,N/A,"0,54",N/A,N/A,Amortização,out./20,30/10/2020,10/11/2020
KNRE11,FII KII REAL,N/A,"0,51",N/A,N/A,Amortização,out./20,30/10/2020,16/11/2020
PLRI11,FII POLO I,N/A,"1,22",N/A,N/A,Amortização,out./20,30/10/2020,09/11/2020
PRSV11,FII P VARGAS,N/A,"14,1",N/A,N/A,Amortização,out./20,29/10/2020,27/11/2020
PRSV11,FII P VARGAS,N/A,190,N/A,N/A,Amortização,out./20,29/10/2020,06/11/2020
VXXV11,FII VX XVI,N/A,"278,45",N/A,N/A,Amortização,out./20,23/10/2020,30/10/2020
DMAC11,FII MAC,N/A,"45,68",N/A,N/A,Amortização,out./20,06/10/2020,15/10/2020
HBTT11,FII HABITAT,N/A,"15,22",N/A,N/A,Amortização,set./20,30/09/2020,15/10/2020
SPTW11,FII SP DOWNT,N/A,"0,54",N/A,N/A,Amortização,set./20,30/09/2020,08/10/2020
PLRI11,FII POLO I,N/A,"1,05",N/A,N/A,Amortização,set./20,30/09/2020,07/10/2020
RNDP11,FII BB R PAP,N/A,165,N/A,N/A,Amortização,set./20,23/09/2020,26/10/2020
CPFF11,FII CAP REIT,N/A,"0,5",N/A,N/A,Amortização,ago./20,09/09/2020,17/09/2020
DMAC11,FII MAC,N/A,"29,31",N/A,N/A,Amortização,set./20,04/09/2020,15/09/2020
SPTW11,FII SP DOWNT,N/A,"0,6",N/A,N/A,Amortização,ago./20,31/08/2020,09/09/2020
PLRI11,FII POLO I,N/A,"0,79",N/A,N/A,Amortização,ago./20,31/08/2020,08/09/2020
BBIM11,FII BB RECIM,N/A,"12,21",N/A,N/A,Amortização,set./20,31/08/2020,25/09/2020
HBTT11,FII HABITAT,N/A,11,N/A,N/A,Amortização,ago./20,31/08/2020,15/09/2020
CPFF11,FII CAP REIT,N/A,"0,45",N/A,N/A,Amortização,jul./20,10/08/2020,18/08/2020
DMAC11,FII MAC,N/A,"22,67",N/A,N/A,Amortização,ago./20,06/08/2020,17/08/2020
SPTW11,FII SP DOWNT,N/A,"0,87",N/A,N/A,Amortização,jul./20,31/07/2020,10/08/2020
PLRI11,FII POLO I,N/A,"1,04",N/A,N/A,Amortização,jul./20,31/07/2020,07/08/2020
HBTT11,FII HABITAT,N/A,7,N/A,N/A,Amortização,jul./20,31/07/2020,14/08/2020
DMAC11,FII MAC,N/A,"27,05",N/A,N/A,Amortização,jul./20,06/07/2020,15/07/2020
HBTT11,FII HABITAT,N/A,11,N/A,N/A,Amortização,jun./20,30/06/2020,15/07/2020
KNRE11,FII KII REAL,N/A,"0,36",N/A,N/A,Amortização,jun./20,30/06/2020,14/07/2020